osm_type,osm_id,name,category,place,street,housenumber,postcode,phone,phone_alt,website,email,facebook,instagram,opening_hours,lat,lon
node,12826177923,Hunter,clothes,Ниш,Обреновићева,82/2,18000,+38163308688,,https://hunter.rs/,online@hunter.rs,,,Mo-Sa 09:00-21:00; Su 10:00-17:00,43.3171419,21.8942425
node,5939862080,Katrin,clothes,Ниш,,,,+38118200900,,https://www.katrin.rs/,,,,Mo-Su 10:00-22:00,43.3106201,21.9365512
node,5939862076,LC Waikiki,clothes,Ниш,,,,,,https://www.lcwaikiki.com/,,,,Mo-Su 10:00-22:00,43.3105591,21.936968
node,5939862495,Legend,clothes,Ниш,,,,+381184240546,,https://www.legend.rs,,,,Mo-Su 10:00-22:00,43.3107565,21.9372098
node,5939862078,N Sport,clothes,Ниш,,,,+381600800835,,http://www.n-sport.net,,,,Mo-Su 10:00-22:00,43.3105866,21.9367799
node,5939862079,Pepco,clothes,,,,,,,https://pepco.rs,,https://www.facebook.com/PEPCOrs,https://www.instagram.com/pepcors/,Mo-Su 10:00-22:00,43.3106543,21.9363173
node,11640250198,Pepco,clothes,,,,,,,https://pepco.rs,,https://www.facebook.com/PEPCOrs,https://www.instagram.com/pepcors/,Mo-Su 10:00-22:00,43.3190105,21.8945932
node,11640250199,Pepco,clothes,,,,,,,https://pepco.rs,,https://www.facebook.com/PEPCOrs,https://www.instagram.com/pepcors/,Mo-Su 09:00-21:00,43.3234866,21.9255817
node,13468372187,Pepco,clothes,,,,,,,https://pepco.rs,,https://www.facebook.com/PEPCOrs,https://www.instagram.com/pepcors/,Mo-Su 10:00-22:00,43.3374702,21.8795945
way,1457745640,Pepco,clothes,,,,,,,https://pepco.rs/,klijent.rs@pepco.eu,https://www.facebook.com/PEPCOrs,https://www.instagram.com/pepcors/,Mo-Su 10:00-22:00,43.3253707,21.9109446
node,5939862490,PS Fashion,clothes,,,,,,,https://www.ps.rs,,,,Mo-Su 10:00-22:00,43.3112804,21.9370871
node,9713356987,Ready,clothes,,,,,+38162775263,,http://ready.rs/,,,,Mo-Fr 08:30-21:00; Sa 08:30-15:00; Su 09:00-15:00,43.315978,21.894474
node,9525685270,Santos & Santorini,clothes,,,,,+38118514276,,https://santos.rs/,santos.pobedina@gmail.com,https://www.facebook.com/santos.srbija/,https://www.instagram.com/santos.santorini/?hl=en,Mo-Fr 09:00-21:00; Sa 09:00-20:00; Su 09:00-17:00,43.3197217,21.8953961
node,5939862488,Takko Fashion,clothes,Ниш,,,,,,https://www.takko.com/,,,,Mo-Su 10:00-22:00,43.3113708,21.9365062
node,9540290964,Tiffany,clothes,,,,,+381604890759,,https://www.tiffanyproduction.com/,,,,,43.3200319,21.8951469
node,9468967060,Tudors,clothes,Ниш,Обреновићева,38,18000,+38162633664,,https://tudors.rs/,,,,Mo-Sa 09:00-22:00; Su 10:00-17:00,43.3190969,21.8948945
node,9528434887,Елипса,clothes,Ниш,Обреновићева,3,18000,+38163696814,,https://www.elipsa.rs/,info@elipsa.rs,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.3204361,21.895551
node,9509108533,Мартини Весто,clothes,Ниш,Обреновићева,21,18000,,,http://www.martini-vesto.com/,,,,Mo-Fr 09:00-21:00; Sa 09:00-18:00,43.3188536,21.8951311
node,9467880858,Пронто,clothes,Ниш,Обреновићева,36,18000,+38163271362,,,,https://www.facebook.com/pronto.nis,https://www.instagram.com/fashion.studio.pronto/,Mo-Fr 09:00-21:00; Sa 09:00-17:00,43.3192418,21.8949348
relation,19415027,Електронски факултет,college,Ниш,Александра Медведева,14,18000,+38118529105,,https://www.elfak.ni.ac.rs,efinfo@elfak.ni.ac.rs,,,Mo-Fr 08:00-15:00; PH off,43.3315767,21.8922823
way,525185799,Машински факултет,college,Ниш,Александра Медведева,14,18000,38118588233,,https://www.masfak.ni.ac.rs/,info@masfak.ni.ac.rs,,,,43.3305187,21.8918603
way,348587164,Филозофски факултет,college,,,,,,,https://upis.filfak.ni.ac.rs/,,,,,43.3214844,21.9022074
node,12122804594,AKC Fuzz,community_centre,,,,,,,https://www.facebook.com/akcfuzznis/,,,,,43.31862,21.8778997
node,9535723231,Амерички кутак,community_centre,Ниш,Обреновићева,20,18000,+38118524583,,https://www.americancorners.rs/about-ac/en/Nis/,nis@americancorners.rs,https://www.facebook.com/AmericanCornerNis/,,Mo-Fr 07:30-19:00,43.3199707,21.8951083
way,687309626,Дечији културни центар,community_centre,Ниш,9. бригаде,8,18000,+38118514748,,https://www.decijicentarnis.org.rs/,decijicentarucairu@gmail.com,https://www.facebook.com/decijicentarnis,https://www.instagram.com/decijikulturnicentarnis/,Mo-Fr 08:00-20:00,43.3159792,21.9055678
node,9535723232,Француски институт,community_centre,Ниш,Обреновићева,20,18000,+38118524578,,https://www.institutfrancais.rs/category/agenda-sr/nis-sr/,ifs.nis@institutfrancais.rs,,,"Mo-Fr 09:00-12:30, 13:00-17:00; Sa 10:30-14:30",43.3199543,21.8951035
node,12992890501,Accordia Group LLC,company,,Учитељ Тасина,38,,,,https://accordia-group.com/,,,,Mo-Fr 09:00-17:00,43.315739,21.898067
node,11003300162,Acibadem,company,,,,,+381603399315,,https://acibadem.rs/,serbia@acibadem.com,https://www.facebook.com/adzibadem,,Mo-Fr 09:00-17:00,43.3157092,21.898161
way,506789026,Aluris,company,,Булевар Светог цара Константина 4. прилаз,40,,+38118540094,,https://aluris.rs/,al@linijatip.rs,,,,43.3059341,21.9463126
node,13256532383,Aura,company,,Грује А. Костадиновића,4v,,+38118589020,+38118589021,https://rs.auramakeup.eu,online.rs@auramakeup.eu,https://www.facebook.com/Kozmetika-AURA-168374086535879/,https://www.instagram.com/auramakeup.eu/,Mo-Fr 08:00-15:30,43.3446315,21.8604483
node,13256532384,AWT international,company,,Булевар 12. фебруар,161,,,,https://www.awt.rs,awtbgd@awt.rs,,,Mo-Fr 07:00-15:00,43.3466227,21.862252
way,422217105,Benlian Foods,company,,,,,+38118550520,,https://benlianfoods.com/,,https://www.facebook.com/benlianfood/,https://www.instagram.com/benlianfood/,,43.3065009,21.9432477
node,13256532376,Ecotrade BG,company,,,,,,,https://www.ecotradebg.rs/,office@ecotradebg.rs,,,Mo-Fr 08:00-16:00,43.3443518,21.8587626
node,13256532377,Ecotrade BG,company,,,,,+38118522144,+38118520691;+38118257014;+38118258473;+38118523594,https://www.ecotradebg.rs/,office@ecotradebg.rs,,,Mo-Fr 08:00-16:00,43.3218075,21.8975009
node,13256065726,Jugo impex,company,,Ваздухопловаца,2,,+381184583833,+381184583832;+381184583593,https://jugo-impex.com,info@jugo-impex.com,,,Mo-Sa 07:00-15:00,43.343134,21.8653922
node,13082317193,Komet,company,,,,,+381605291741,,https://www.kometva.co.rs,aleksandra@kometva.co.rs,,,Mo-Fr 08:00-16:00,43.3069748,21.944463
node,13258066238,MD International,company,,Булевар 12. фебруар,161,,+38118584014,+38118584015,https://www.mdi.rs,nioffice@mdi.rs,,,,43.3468065,21.8625308
node,13257959686,Nimaco,company,,,,,,,https://www.nimaco.rs,,https://www.facebook.com/officenimaco,https://www.instagram.com/office_nimaco,Mo-Fr 08:00-16:00,43.3128669,21.9233187
node,13078614685,NiTechnoClima,company,,,,,+38118512076,,https://nitechnoclima.com/,,,,,43.3072483,21.9453527
node,13078614683,SanRock,company,,,,,+381611554806,,https://sanrock.rs/,office.rs@sanrock.com,https://www.facebook.com/profile.php?id=100075854901605,,,43.3070883,21.9460223
way,761478939,Silbo,company,,Булевар Светог цара Константина 4. прилаз,48b,,,,https://silbo.rs,office@silbo.rs,,,,43.3080287,21.9419001
node,13256532372,Takzo,company,,Грује А. Костадиновића,6,,+381184585110,,https://takzo.net/,takzo@mts.rs,,,Mo-Fr 07:30-15:30,43.3439585,21.8600363
node,13256532378,Tehno i oprema,company,,Грује А. Костадиновића,4b,,+38118243807,,https://tehnoioprema.com,info@tehnoioprema.com,https://www.facebook.com/tehnoioprema/,https://www.instagram.com/tehnoioprema_ing/,Mo-Fr 08:00-16:00,43.3442003,21.8610592
way,637557219,BRM-BIP Servis Racunara,computer,,Бубањски хероји,64,18106,0659309303,,,,,,Mo-Sa 09:00-22:00,43.3122119,21.8593403
node,13076382032,Gamebox,computer,Ниш,Цара Душана,47,18101,+38118514666,,https://www.gamebox.rs,office@gamebox.co.rs,,,"Mo-Fr 09:00-20:00, Sa 10:00-15:00",43.317624,21.8992091
node,5953184100,Вип Виртиком,computer,Ниш,Војводе Вука,13,18000,+38118526044,,http://www.virtikom.com/,,,,Mo-Fr 09:00-16:00; Sa 10:00-14:00,43.31925,21.9013462
node,9706067066,Ad astra decor,confectionery,Ниш,Епископска,26/6,18000,+381642219911,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-16:00,43.313869,21.8967614
node,9471000041,L'amour,confectionery,,,,,+381638246167,,,lamourfrancuskaposlasticara@gmail.com,,,,43.3185622,21.8950845
node,13112172769,Слатка кућа,confectionery,Ниш,Булевар 12. фебруар,40,18104,+381631020901,,https://swisslion-takovo.com/,,,,Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 08:00-14:00,43.3242136,21.8903758
node,13112282946,Слатка кућа,confectionery,Ниш,Књажевачка,118ž,18103,+38163427054,,https://swisslion-takovo.com/,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,43.3293277,21.9275512
node,13132963926,Idea,convenience,Ниш,Булевар др Зорана Ђинђића,44b,18000,+381800101202,,,,,,Mo-Sa 07:00-22:00; Su 08:00-15:00,43.3182063,21.9097131
way,473732364,IDEA,convenience,Ниш,Обилићев венац,52,18000,+381800101202,,https://www.idea.rs/,,,,Mo-Sa 07:00-22:00; Su 08:00-15:00,43.3161013,21.8890279
way,473732370,IDEA,convenience,Ниш,Јована Ристића,29,18000,+381800101202,,https://www.idea.rs/,,,,Mo-Sa 07:00-22:00; Su 08:00-15:00,43.3172219,21.8870106
node,11341631951,Maxi,convenience,Ниш,Романијска,13,18108,,,https://www.maxi.rs/,,,,Mo-Sa 07:00-21:00; Su 08:00-14:00,43.3195378,21.9236885
way,839893196,OMV,convenience,Ниш,,,18000,+38118214532,,https://www.omv.co.rs/sr-rs,info.serbia@omv.com,https://www.facebook.com/OMV,https://www.instagram.com/omv/,24/7,43.3241889,21.9256503
node,10949235023,Златан Траг ДТЛ,convenience,Ниш,Булевар др Зорана Ђинђића,89,18000,,,https://zlatantrag.rs/,,,,Mo-Su 07:00-22:00,43.3145484,21.9189013
node,11987109623,Златан Траг ДТЛ,convenience,Ниш,Генерала Милојка Лешјанина,51,18000,,,https://zlatantrag.rs/,,,,Mo-Su 07:00-22:00,43.3194197,21.8883753
node,11987109624,Златан Траг ДТЛ,convenience,Ниш,Зетска,36a,18109,,,https://zlatantrag.rs/,,,,Mo-Su 07:00-22:00,43.3090696,21.911146
node,12498912196,Златан Траг ДТЛ,convenience,Ниш,Булевар Светог Пантелејмона,83,18000,,,https://zlatantrag.rs/,,,,Mo-Su 07:00-22:00,43.3356967,21.9230013
node,4946187722,Леон ДТЛ,convenience,Ниш,Драгише Цветковића,93,18000,,,https://dtl.rs/,,,,Mo-Su 07:00-22:00,43.3187419,21.918783
node,11341673596,Леон ДТЛ,convenience,Ниш,Византијски булевар,,18000,,,https://dtl.rs/,,,,Mo-Su 07:00-22:00,43.323472,21.9277396
node,11987109618,Леон ДТЛ,convenience,Ниш,Димитрија Туцовића,63,18000,,,https://dtl.rs/,,,,Mo-Su 07:00-22:00,43.3150258,21.8661754
node,11987109620,Леон ДТЛ,convenience,Ниш,Чарнојевића,10Б,18000,,,https://dtl.rs/,,,,Mo-Su 07:00-22:00,43.3116521,21.8880362
way,406950707,Леон ДТЛ,convenience,Ниш,Његошева,21,18106,,,https://dtl.rs/,,,,Mo-Su 07:00-22:00,43.3101895,21.8931686
node,11341631950,Текијанка ДТЛ,convenience,Ниш,Романијска,13,18108,,,https://www.tekijanka.com/,,,,Mo-Sa 07:00-21:00; Su 08:00-14:00,43.3195288,21.9240911
node,12498912195,Текијанка ДТЛ,convenience,Ниш,Милована Крстића,2,18103,,,https://www.tekijanka.com/,,,,Mo-Sa 07:00-21:00; Su 08:00-14:00,43.3372562,21.9220151
node,9749183629,Хорна,convenience,Ниш,Станоја Главаша,19,18000,+38118590276,,,,,,,43.3076783,21.9048628
node,11047502889,Чичо Ричо,convenience,Ниш,Епископска,50,18000,+381604291286,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 08:00-17:00,43.3133656,21.8978243
node,12498912197,Чичо Ричо,convenience,Ниш,Булевар Светог Пантелејмона,89,18000,,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 09:00-17:00,43.3357398,21.9245358
node,13120184480,Чичо Ричо,convenience,Ниш,Сремска,5a,18000,,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 09:00-17:00,43.316319,21.9172647
node,13132963928,Чичо Ричо,convenience,Ниш,Булевар др Зорана Ђинђића,27,18000,+381604291284,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 09:00-17:00,43.3182112,21.9107558
node,13683836339,Чичо Ричо,convenience,,,,,+381604291250,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 08:00-17:00,43.3196089,21.9074793
node,14113639285,Чичо Ричо,convenience,Ниш,Бранка Миљковића,22,18000,,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 09:00-17:00,43.3152143,21.928565
node,14113639292,Чичо Ричо,convenience,Ниш,Радних бригада,6,18000,,,https://cicorico.rs/,,,,Mo-Sa 07:30-21:30; Su 09:00-17:00,43.313377,21.9231942
node,13523123307,Copy House,copyshop,Ниш,Ћирила и Методија,3,18000,,,https://www.ricohserbia.com/,office@ricohserbia.com,,,Mo-Fr 07:30-21:00; Sa 09:00-17:00,43.3216668,21.9018823
node,9471783147,Alexandar cosmetics,cosmetics,,,,,+381607009592,,https://www.alexandar-cosmetics.com/distributeri/srbija/nis/fashion-club-d-m-kazandzijsko,,,,Mo-Fr 08:30-21:30; Sa 09:00-17:00,43.31795,21.8952996
node,4352361206,Unitech hair & beauty,cosmetics,,,,,+38118510560,,https://www.unitech.rs/,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.3187123,21.8930375
way,1190463899,Јасмин,cosmetics,,,,,+38118240350,,https://www.jasmin.rs/,,,,Mo-Fr 08:00-21:00; Sa 08:00-16:00,43.3194145,21.8953038
way,530901192,Апелациони суд у Нишу,courthouse,,Војводе Путника,1,,018506801,,http://www.ni.ap.sud.rs,uprava@ni.ap.sud.rs,,,,43.3153088,21.8834888
way,348587183,Основни суд,courthouse,Ниш,Вожда Карађорђа,23,18000,+38118522400,,,,,,Mo-Fr 07:00-14:00; PH off,43.320744,21.9012524
node,12276875010,Centrala Hub,coworking,Ниш,Краљевића Марка,23,18106,+381616869404,,https://centralahub.rs/,halo@centralahub.rs,,,Mo-Fr 08:00-20:00,43.3139902,21.8871338
node,13683836304,Space Station Hub,coworking,Ниш,Учитељ Тасина,20,18000,,,https://spacestation.rs/,,,,24/7,43.3157365,21.8970686
node,12995643801,Козмик,craft,Ниш,Првомајска,37,18000,+38118259009,,,,,,Mo-Fr 08:00-19:00; Sa 09:00-15:00,43.3198783,21.9030621
node,10009204816,Dental studio Milošević,dentist,,,,,+38163661162,,https://www.studiomilosevic.rs/,studiomilosevic@gmail.com,,,,43.3212405,21.8919828
node,13257959687,Dental trio,dentist,,,,,+381641882849,,,,,https://www.instagram.com/dental_trio/,,43.3129012,21.9231336
node,13523123303,Denticija,dentist,Ниш,Ћирила и Методија,33,18000,+3811641755051,+381693075020,,,,,Mo-Fr 10:00-20:00,43.322871,21.9051449
way,473343946,OrthoSmile,dentist,Ниш,Драгише Цветковића,25,18000,+381638563388,,,majastosic101@gmail.com,,,Mo-Fr 10:00-19:00; Sa 10:00-13:00,43.3195798,21.910415
node,13958590355,Petrović dent,dentist,,,,,+38118533119,,http://www.petrovicdent.com/,ordinacija@petrovicdent.com,,,Mo-Fr 09:00-20:00; Sa 09:00-15:00,43.3190127,21.9211721
node,11289051935,Vera Dent,dentist,,,,,+381603346860,,,,,,Mo-Fr 09:00-20:00,43.3161348,21.8972467
node,9470147975,Тридент,dentist,,,,,+381631138373,,https://trident.rs/,ordinacija@trident.rs,https://www.facebook.com/Trident-Stomatolo%C5%A1ka-Ordinacija-118504988495069/,https://www.instagram.com/trident_ordinacija/,"Mo-Fr 09:00-13:00,15:00-19:00",43.3186148,21.8950957
node,13408298271,Фелкер дентал,dentist,,,,,+381692704230,,https://felkerdental.com/,info@felkerdental.com,,,"Mo-Fr 10:00-14:00,17:00-19:00; Sa 10:00-14:00",43.3223604,21.9269997
way,1189251885,Генерални конзулат Републике Бугарске,diplomatic,,Лоле Рибара,19,,+38118516800,,https://www.mfa.bg/en/embassies/serbiagc,Consulate.Nish@mfa.bg,,,,43.3233678,21.898845
node,11254211355,Почасни конзулат Пољске,diplomatic,Ниш,Војводе Танкосића,9,18000,+38118300615,+38118300616,https://www.gov.pl/web/srbija/poasni-konzulati,,,,"Mo,We,Fr 10:00-13:00",43.3232854,21.9067672
way,280889726,Здравствена станица Дуваниште,doctor,Ниш,Мајаковског,20g,18108,+38118553444,,https://www.domzdravljanis.co.rs/,,,,Mo-Fr 07:00-20:00,43.3156522,21.9349079
way,406950737,Здравствена станица Расадник,doctor,Ниш,Старца Вујадина,1,18106,+38118240199,,https://www.domzdravljanis.co.rs/,,,,Mo-Fr 07:00-20:00,43.3101493,21.8934207
node,9789864333,Равена,doctor,,,,,+38118301604,,https://ravena.rs/,info@ravena.rs,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.3174038,21.9041305
node,13606547606,Auto škola Reli,driver_training,Ниш,Bulevar Nemanjića,25,18000,+38118574757,,https://autoskolareli.rs/,,,,,43.321809,21.9147714
node,12506638888,Corolla,driving_school,,,,,+38118522551,,https://autoskolacorolla.co.rs/,autoskolacorolla@gmail.com,,,,43.3190325,21.8997974
way,1191297254,American Corner Niš,educational_institution,Ниш,Обреновићева,22,18000,+381034208887,,https://bit.ly/4fnlqlh,nis@americancorners.rs,,,Mo-Fr 07:00-19:00,43.3200431,21.895085
node,13683836311,Tinker Labs,educational_institution,Ниш,Рајићева,13,18000,+38163656924,,https://www.tinkerlabs.rs/,,,,,43.3154469,21.8983741
node,13256532374,Eltom,electronics,,,,,+381184555666,,https://eltom.rs,eltomnis@gmail.com,,,Mo-Sa 08:00-15:00,43.3441109,21.8592389
node,13256532375,Eltom,electronics,,,,,+38118531300,,https://eltom.rs,eltomnis@gmail.com,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.3166667,21.8924859
node,8014804614,Gigatron,electronics,Ниш,,,,+381184100511,,https://www.gigatron.rs/,,,,Mo-Su 10:00-22:00,43.3106049,21.9366551
node,13036274901,Gigatron,electronics,,,,,,,https://gigatron.rs/,,,,,43.3189328,21.8943727
node,13468372200,Gigatron,electronics,,,,,,,https://www.gigatron.rs/,,,,Mo-Su 10:00-22:00,43.3370517,21.8794662
way,474585780,Home Centar Vera,electronics,,Обреновићева,124v,,+381648033928,,,,,,Mo-Sa 10:00-18:00,43.3155368,21.8944665
node,5939862497,Tehnomedia,electronics,Ниш,,,,,,http://www.tehnomediacentar.com,,,,Mo-Su 10:00-22:00,43.310422,21.9362437
node,13507558303,Техноманија,electronics,Ниш,Николе Пашића,28,18000,+381113713713,,https://tehnomanija.rs/,,,,,43.3183751,21.8961279
way,280889724,Техноманија,electronics,Ниш,Булевар Медијана,36,,,,https://www.tehnomanija.rs/,,,,Mo-Fr 08:30-20:00,43.313698,21.9346818
node,9487101308,ТВ сервис Бане,electronics_repair,Ниш,Трг учитеља Тасе,10,18000,+38118515982,,http://tvservisnis.com/,,,,,43.3146584,21.8990939
node,13523123312,Agencija za prodaju nekretnina Proagent,estate_agent,Ниш,Вожда Карађорђа,24,18000,+381066410100,+381066401100,https://proagent.rs/,info@proagent.rs,https://www.facebook.com/proagentnekretnine/,https://www.instagram.com/proagent_nekretnine/,,43.3204655,21.899513
way,1211293187,Принц,events_venue,Ниш,Ивана Милутиновића,28,18000,+38118231481,,https://princ.rs/,,,,,43.3210843,21.8783637
node,9789864332,Штоф шоп,fabric,Ниш,Војводе Мишића,7,18000,+381643501449,,,,https://www.facebook.com/Stof-Sop-174844279724841/,,,43.3175797,21.9042487
node,9528434886,Mantica,fashion_accessories,Ниш,Обреновићева,7,18000,+38118511574,,,,https://sr-rs.facebook.com/ManticaTorbe,https://www.instagram.com/nakit_i_torbe_mantica/?hl=en,,43.3199103,21.8954244
node,12188084527,Gyros Heroes,fast_food,Ниш,Николе Пашића,39,18000,+381637389890,,https://gyrosheroes.rs/,gyrosheroesfood@gmail.com,,,,43.3180721,21.8957504
node,11802818844,Kluzzo,fast_food,Ниш,Николе Пашића,bb,18000,+381693450330,,https://www.kluzzo.com/,,,,Mo-Su 09:00-24:00,43.3177797,21.900019
way,1457745604,La casa del Burrito,fast_food,,,,,+38118309294,,https://burrito.rs/,,,,Mo-Su 10:00-22:00,43.3247149,21.9116665
node,13371507127,Pastara,fast_food,Ниш,Цара Душана,47,,,,http://www.pastara.rs/,,,,"Mo-Th 09:00-00:00, Fr 09:00-01:00, Sa 12:00-01:00, Su 14:00-22:00",43.3176272,21.8993708
node,13683836318,Prva Liga,fast_food,Ниш,Обреновићева,,18000,+381693342348,,,,,,Mo-Su 07:00-23:00,43.3151173,21.8947594
node,13371507126,Red Wings Niš,fast_food,Ниш,Цара Душана,47b,,+381605511624,,https://www.redwings.rs/,,,,Mo-Su 10:00-01:00,43.3176559,21.8994678
node,12188084524,Richard Gyros,fast_food,Ниш,Николе Пашића,37,18000,,,https://richardgyros.rs/,,,,Mo-Th 08:30-23:00; Fr-Sa 08:30-01:00; Su 10:00-11:00,43.3180462,21.8958196
way,1028732095,Royal food,fast_food,Ниш,Епископска,56,18000,+381654242499,,,,,,,43.3128991,21.898683
node,12498984801,Smash House,fast_food,Ниш,Николе Пашића,30,18105,,,https://brzahranatron.com/,,,smashhousenis,Mo-Su 12:00-01:00,43.3183961,21.8953653
node,12826265843,Tostojevski,fast_food,Ниш,Обреновићева,46,18000,+38118250210,,,,,https://www.instagram.com/tostojevski.nis/?hl=en,Mo-Sa 09:00-24:00; Su 15:00-24:00,43.3173777,21.8945035
node,12368057877,Tuti Fruti Bar,fast_food,,,,,+381693301231,,https://tutifruti.rs/,,,https://www.instagram.com/tutifrutibar/,Mo-Fr 08:00-23:00; Sa 10:00-21:00,43.3194513,21.9000246
node,13683836332,Uncle G,fast_food,Ниш,Казанџијско сокаче,23,18000,+38169661592,,,,,,Mo-Th 08:00-24:00; Fr-Sa 08:00-01:00; Su 08:00-24:00,43.3180046,21.8949861
node,13683836331,XO Pizza,fast_food,Ниш,Караџићева,12,18000,+38163424333,,https://xopizza.rs/,,,,Mo-Sa 09:00-01:00; Su 12:00-22:00,43.3185561,21.8954841
node,13112282947,Брука,fast_food,Ниш,Књажевачка,116,18103,+381646429710,,,,,,Mo-Tu 08:00-22:00; Th-Su 08:00-22:00,43.3293616,21.9269791
node,13132963925,Брука,fast_food,Ниш,Булевар др Зорана Ђинђића,46b,18000,+381646429711,,,,,,Mo-Su 07:00-23:00,43.3180148,21.9102261
node,12506638886,Два пута два,fast_food,,,,,+38169721737,,https://dvaputadva.com/,,,,,43.3188856,21.8996988
node,4946198223,Домаћин јуниор,fast_food,Ниш,Сремска,14a,18000,+381621878679,,,,,,Mo-Sа 07:00-23:00; Su 07:00-22:00,43.316959,21.9183032
node,9516524014,Ечка,fast_food,Ниш,Епископска,50,18000,+38162512231,,https://eckafish.rs/,,,,Mo-Fr 09:00-18:00; Sa 09:00-17:00,43.3133007,21.8979338
way,1066897501,Жабац,fast_food,Ниш,Драгише Цветковића,24a,18000,+381183501255,,,,https://www.facebook.com/tortiljabarzabac/,,Mo-Fr 09:00-00:00; Sa 10:00-00:00,43.319264,21.9093338
node,13130497053,Златни Змај,fast_food,,Вожда Карађорђа,68,,+38162262718,,,,,,Mo-Fr 09:00-23:30; Sa 10:00-23:30,43.3202685,21.9019268
node,13112172770,Калинка,fast_food,Ниш,Булевар 12. фебруар,23,18104,+38162239169,,,,,,Mo-Su 07:00-22:00,43.3239654,21.8899684
node,4381805590,Код Лафа,fast_food,Ниш,Вожда Карађорђа,,18000,+381694154155,,,,,,Mo-Su 07:00-05:00,43.3202976,21.9016315
node,13145880343,Супероштиљ Топ,fast_food,Ниш,Вожда Карађорђа,70,18000,+381616526588,,,,,,Mo-Sa 10:00-22:30,43.3202611,21.9020034
node,6053546259,Трон,fast_food,Ниш,Трг краља Александра Ујединитеља,1A,18105,,,https://brzahranatron.com/,,,,Mo-Th 08:00-23:30; Fr-Sa 08:00-00:30; Su 12:00-23:30,43.3184697,21.8918955
node,12498912199,Трон,fast_food,Ниш,Трг Светог Саве,21B,18108,,,https://brzahranatron.com/,,,,Mo-Th 08:00-23:30; Fr-Sa 08:00-00:30; Su 12:00-23:30,43.3200633,21.9202241
node,12498912200,Трон,fast_food,Ниш,Булевар Светог Пантелејмона,79,18103,,,https://brzahranatron.com/,,,,Mo-Th 08:00-23:30; Fr-Sa 08:00-00:30; Su 12:00-23:30,43.3356603,21.9225169
node,6808078386,Царица,fast_food,Ниш,Булевар др Зорана Ђинђића,54v,18000,+38118204141,,,,,,Mo-Sа 08:00-23:00; Su 09:00-22:00,43.3152947,21.916185
node,453435274,Ватрогасни дом,fire_station,Ниш,Војводе Мишића,56,,+38118527656,,,,,,,43.3223286,21.9092351
node,13256532373,Priti Ju,fireplace,,,,,+381631087299,,https://prity.rs/,kamincentarprity@gmail.com,https://www.facebook.com/pritysrbija,https://www.instagram.com/kamincentarprity/?hl=en,Mo-Fr 08:30-16:00,43.3439287,21.8598089
node,13612756529,Galerija podova,flooring,,Војводе Мишића,34,,+38118527556,,https://galerijapodova.com,gp.33@galerijapodova.com,https://www.facebook.com/GalerijaPodova,https://www.instagram.com/galerija_podova/,Mo-Fr 09:00-20:00; Sa 08:00-15:00,43.3192553,21.9060848
node,13612756530,Galerija podova,flooring,,,,,+381184576060,,https://galerijapodova.com,gp.87@galerijapodova.com,https://www.facebook.com/GalerijaPodova,https://www.instagram.com/galerija_podova/,Mo-Fr 09:00-18:00; Sa 08:00-15:00,43.3343572,21.8801615
node,9509981945,Lolly pop,florist,Ниш,Епископска,10,18000,+381643837584,,,marijalollypop@gmail.com,https://www.facebook.com/lollypopnis/,https://www.instagram.com/cvecara_lolly_pop/?hl=en,Mo-Sa 09:00-21:00; Su 09:00-16:00,43.3141432,21.8961846
node,13658777581,Nišlijka,florist,,,,,+3810603220585,,,,,,Mo-Fr 12:00-20:00; Sa-Su 10:00-20:00,43.323154,21.9253915
node,12794467025,Миранис,florist,,,,,+38163430014,,https://www.cvecaramiranis.rs/,cvecara.miranis@gmail.com,,https://www.instagram.com/cvecara_miranis/,Mo-Fr 10:00-20:00; Sa 10:00-21:00; Su 10:00-16:00,43.3193201,21.9299712
node,5064106901,ButanGas,fuel,,,,,,,https://www.butangas.rs,bs.nis2@butangas.rs,,,24/7,43.316548,21.8490889
node,12809825335,ButanGas,fuel,,Матејевачки пут,,,+38118574904,,https://www.butangas.rs,bs.nis@butangas.rs,,,24/7,43.3370729,21.937437
node,1614409877,Lukoil,fuel,,Драгише Цветковића,63a,,+381112220200,,https://lukoil.rs,office@lukoil.rs,https://www.facebook.com/LUKOILSRBIJA/,https://www.instagram.com/lukoilsrbija/,24/7,43.3191937,21.9143986
node,6806509485,Lukoil,fuel,,Булевар 12. фебруар,80a,,+381112220200,,https://lukoil.rs,office@lukoil.rs,https://www.facebook.com/LUKOILSRBIJA/,https://www.instagram.com/lukoilsrbija/,24/7,43.3375275,21.8774457
